,Tweet,Sentiment
53,"RT @WindsorDynasty: Prince Charles &amp; Princess Anne - Windsor, 1969. https://t.co/HGTxdem46m",0
54,RT @janelle12th: @OprahDaily @OprahDaily Yes Archie and Lilibet are technically Prince and Princess but their titles have to be bestow upon…,1
55,"RT @NaomiSky_15: Report this for misinformation! What’s cruel is the way the Queen, Prince Philip and King Charles have been treated by #Ha…",-1
56,"@OprahDaily @OprahDaily Yes Archie and Lilibet are technically Prince and Princess but their titles have to be bestow upon them from King Charles lll. This is why allegedly Harry wants to revise his book and their doco for Netflix. This opinion is reported by known ""Royal Watchers"".",1
57,"@OprahDaily @OprahDaily What is with Charles lll? He used to be Prince Charles and has become King Charles lll. You make it sound like he was called Charles lll before becoming King. You may refer to Meghan Markle in this way, but Kate Middleton on her wedding day became Catherine, Ok!",1
58,"The First Official Portrait Featuring #KingCharles, Queen Consort Camilla and Prince and Princess of Wales Released. ▹ https://t.co/DDwQrkYbUx 👑 #RoyalWatch https://t.co/3Wac0dpPe0",0
59,RT @fanofprincephil: So now you see that #QueenElizabethII treated her grandson #PrinceHarry better than his own father #KingCharlesTheCrue…,1
60,"@OprahDaily @OprahDaily  Princess of Wales was Diana's title when she was married to Prince Charles, after the divorce Camilla became the Princess of Wales, but chose not to use it. That means Catherine (not Kate) inherited it from Camilla.",0
61,"RT @PalacePolitics: @redunelectable @sixsensetee I'm well aware of the vitriol in the tabloid press towards H&amp;M in the UK, I lived in Londo…",1
62,RT @Collin4618: Prince Charles gets to have the KING size bed tonight,0
63,"RT @hellen3030: Well, I’m taking a short break from #HurricanIan weather news. But here’s when Prince Charles presented the weather forecas…",1
64,"RT @IronSiren2010: @BidensWins Biden's list of people he puts first
THE FEDERAL RESERVE BANKS
PEDOS AND CHILD TRAFFICKERS
UKRAINE 
ANY COUN…",0
65,"I just realized that the reason Prince/now King Charles didn't know what ""in love"" meant at the end of that famous interview announcing his engagement to Diana was because the song ""Hallelujah"" which finally explained what love is hadn't quite been released yet.",1
66,@CathHanley @katecmorrison I spent a long time down a Jacobite rabbit hole. Wrote a novel around Bonnie Prince Charles’s mother. James - the ‘King over the Water’ or ‘The Pretender’ if you were a supporter of George I. He sent a Charles Wogan - an Irish soldier on a secret search for a potential wife. 1/2,1
67,Bonnie Prince Charles was willing to ditch Roman Catholicism to be king https://t.co/xonKGPfySx,0
68,"I miss you lots. Hopefully the signal comes back soon. Love you more than yesterday. 
 
Regards, 
 HRH Prince Charles",1
69,"RT @KateWilliamsme: By 1917 letters patent, grandchildren of monarch are Prince/ss. So Archie wd be so when Charles King. Meghan seems to b…",1
70,@BloombergUK I wonder why They dont have Prince Charles crowning closer to when Queen Elizabeth was crowned. They did say June 2023 was close to when Queen Elizabeth was crowned 70 years ago. Air heads🙄🤴💂‍♀️,0
71,"04/
KING CHARLES III Abdicates Throne, PRINCE HARRY Becomes King - Prediction

https://t.co/6SyJ4y5GVJ
https://t.co/6SyJ4y5GVJ",0
72,"@putro_mj @CNNIndonesia Minta ma'af kamu sm Yang Mulia, He is not a Prince... He is a King.
King Charles III 🇬🇧",0
73,Here is everything we know so far about the imminent coronation of King Charles III. https://t.co/qqj53f1P3q,0
74,Again.  Why would king Charles allow kids being brought up in the US to retain British titles? Makes no sense. also makes no sense for there to be a Duke and Duchess of Sussex. The Wales kids will eclipse them within a few short years.     https://t.co/BGgkwZMQ6i,1
75,"@DuchessJRM @Mimicinque The Queen has bought horses from the Emier of UAE  a friend of the Royals for decades,Emier is holding two of his adult daughters  held against their will, in separate homes.Prince Charles accepted cash in suitcases twice in 2022 from a Qatari &amp;, Saudi for a Title,&amp; Foundation",1
76,"@IphyUSA @deecelt @Seraphi33344320 @PerezHilton Aw, sugar.  Nobody here is racist but you.  We will see about that title, if Charles follows Queen Margrethe, Harry might not even be a prince much longer.  🤣🤣🤣🤣",-1
77,King Charles The 3rd will have coronation in June….what happens if he dies before then? That would be the most Prince Charles thing ever lol,1
78,"@ColetteMontagu1 @LEB3791 @cbouzy Even if e request not to called a Prince, he will ever, I mean forever be called a Prince. Dude is born blue blood. King Charles or his brother will always welcome him back if anything happen in his marriage. Family is family! Just take a look at Prince Andrew?🤣🤣🤣",1
79,"@BidensWins Biden's list of people he puts first
THE FEDERAL RESERVE BANKS
PEDOS AND CHILD TRAFFICKERS
UKRAINE 
ANY COUNTRY SUPPLYING US OIL
WHO
WEF
UN
ILLEGAL IMMIGRANTS 
PRINCE CHARLES 
STUDENT DEBT LOANEES 
STUPID GULLIBLES WHO VOTED FOR HIM
AND MORE...PROBABLY NOT IN THAT ORDER",-1
80,RT @paynenotes1: @talkRADIO He is content to call unvaccinated people immoral yet when it comes to behaviours the Bible says are immoral bu…,-1
81,"RT @Sp1ritChild: Just caught the back end of Prince Charles twitch dj set... seems happy.

https://t.co/KF8knsyM3V",1
82,"@BrainAblaze That having epilepsy implies a reduced IQ or mental capacity. Not so.

A search of famous people with epilepsy includes writers, actors, artists, singers- Danny Glover, Charles Dickens, Prince, Edgar Allen Poe and THEODORE ROOSEVELT. 

Let NO ONE tell you you are less-than. https://t.co/vDHUp4KnjK",0
83,RT @KaiseratCB: Prince Archie &amp; Lilibet’s royal titles continue to be King Charles’s bargaining chip https://t.co/W2S9TkdvNA https://t.co/x…,0
84,"@_Genevieves_ @CamiSotto4 I hope this is true.  I seriously think King Charles needs to ask them to tell him why they should still have the titles.  I guess Prince is Harry’s birthright, but they should have to give the Dukedom and other titles back.  back.  They do nothing for Sussex or the UK.  Nothing.",1
85,"Bower continued, “In the end, Meghan’s sight is fixed on maximizing her income and nothing will get in her way. Without any sympathy for Charles and the royal family, they are now set on promoting themselves and earning their living.”

https://t.co/4VbzG6tZsD",1
86,"Their bands under Ignaty Malchewsky, Michael Pac and Prince Charles Radziwill ravaged the land in every direction, won several engagements over the Russians, and at last, utterly ignoring the king, sent envoys on their own account to the principal European powers.9AZ",-1
87,"I found this on NewsBreak: King Charles III Will Reportedly Have to Pay Rent to Prince William 
https://t.co/UOP2IFuI65",-1
88,"TESTIMONY VIDEO
Prince Charles, Queen Elizabeth and Pappy Bush Are Leaders in Child Trafficking
July 2nd, 2014
https://t.co/JVTtRXirx4
@logixca @IgnorentThe @donna_197 @tenshieve08
@RaymondHarvey @GeneviveCaron18 @RadioLachine
@ViiiiiiVi1 @NicoleA65438494 @harmonie444 https://t.co/Tbs8YjWqCL",0
89,"RT @DBrown99944: @KJBennettBeauty @ForumsMeghan Exactly. These grandkids already have their titles as 
prince &amp; princess. 
The issue here i…",0
90,"@LivingMagazineW Let it go...King Charles, Queen in Consort, Prince &amp; Princess of Wales support them plus King Charles as a Prince stated he was downsizing. They are happy welcome to the Modern Ages.",1
91,Prince Harry’s book and Meghan’s Netflix show could chip away at King Charles credibility https://t.co/YUW9fuj0lB,0
92,"Prince Charles at 73 the oldest person to assume the British throne, also the longest waiting to get the crown. I didn't do the King very happy as he knows he won't be as great as his mom was. ""Long Live King"" in a graffiti style! I love graffiti.
🧵👇 https://t.co/4dN1h4SVsv",-1
93,"Prince William delivered his first speech as heir to the British throne at a wildlife protection summit, signaling that the royal family will continue to champion environmental causes. https://t.co/GP2te04bD4",0
94,"@sportsfan_ian @Mimicinque Creature - Harry is a prince by birth. No one can take that title away from him. If by chance, Charles wants to take the title of Duke of Sussex, Harry and Meghan will use the titles, Prince and Princess.",1
95,@sweetislandgalx Prince Charles plaza,0
96,RT @mollyesbian: in order for me to recognize Prince Charles as King Charles I'll first require 2 letters from different psychiatrists who…,-1
97,"@GeorgePapa19 Why do you think Bill Gates is spending his millions buying up lane from farmer, and giving money to the United Nations. 
And the Rothschild family, control all the banks, Royal family in England.  And they are the ones 
that set Prince Charles 111",1
98,"RT @Stop_Trump20: I think Trump got flipped off by Prince Charles 😂😂😂😂😂😂😂

https://t.co/lRuprJnxIf",0
99,"8/ Clarence House courtiers were very formal with Prince Charles whereas William and Harry’s team were more relaxed. The brothers didn’t like their staff standing up for them when they entered a room

William didn’t like staff dressing so formally because his children lived there",0
100,RT @REALT39311964: Both of your Parents STILL ALIVE ? ONE DEAD? Did tgey leave you anything? ...Or are you waiting on the other to DIE? ...…,-1
101,"Both of your Parents STILL ALIVE ? ONE DEAD? Did tgey leave you anything? ...Or are you waiting on the other to DIE? ....and share their portion of Savings, Earnings they accrued.  Prince Charles is now the King , RIGHT? AND WHEN ONE DIES...WHO GETS THE ( ROYALTIES ) 😇👽👏💙🧐💯",-1
102,"RT @factsand2cents: This is British Royal hypocrisy; if they can accept Charles as King, they can accept Andrew. Charles is no better than…",1
103,"#RoyalFlashback | Princess Margaret joined the Queen, Prince Charles, Princess Anne as they depart Euston Station for Buckingham Palace on their return to London #OnThisDay in 1954, from their annual Holiday at Balmoral Castle in Scotland: https://t.co/yVwUw9jbbg",1
104,"#RoyalFlashback | Princess Margaret&amp;nbsp;joined the Queen, Prince Charles, Princess Anne as they depart Euston Station for Buckingham Palace on their return to London #OnThisDay in 1954, from their annual Holiday at Balmoral Castle in Scotland: https://t.co/yVwUw91zMG",1
105,"RT @andrews_ange: @KellyDe60668811 @loosewomen Exactly. These guys don’t realize how terrible the royal family looks! Infact, I never cares…",0
106,#Isn't it time Canada cut the royal apron strings as we learn that King Charles is set to gift Prince William and Kate Middleton with 2 more homes in a world that is decidedly post-empire? The largesse built off the backs of the colonies boggles most ordinary democratic minds.,1
107,@shukri_hilowle Love that you’re going so hard at Meghan but utter nothing about King Charles and Prince William getting away with noting paying a dime in inheritance taxes. #AbolishTheMonarchy #MeghanMarkleStaysWinning,1
108,"Two things the Prince and Princess of Wales have in common with His Majesty The King.

King Charles III is an accomplished diver, just like William and Catherine are too.  

And King Charles III plays the piano, trumpet and cello excellently.  Princess Catherine plays the piano!",1
109,RT @ChicDelights8: @jatroa @sage1411 Harry is no longer Wales. He is not William’s child. King Charles is no longer Prince of Wales. He is…,0
110,"LOL.  Headlines have gone from “Prince Harry and Meghan's return to the spotlight in U.K. sparks hopes for 'genuine reconnection' with royals”  to “New Meghan, Harry photo is a f–k you to the royal family: expert”

Amazing portrait photo. Of H and M. 

Charles is a crap dad.",1
111,"Then, as Charles said, Admiral Gamble must be the 13th Knight!

The conclusion is that Prince Charles wants peace for the human race on Earth, and he doesn't want the human race to fight each other and suffer.
So he returned all the British empires to that country and",-1
112,"2/ The story about courtiers squeezing toothpaste onto Prince Charles’ toothbrush: If it did happen, it was only because Charles broke his arm playing polo.

Michael Fawcett ran events for Prince Charles, courtiers describe him as good at his job but a bully and not a nice man.",1
113,Marxist Satanist Prince Charles Urges Environmentalists: Follow the Islamic Way to Save World.,1
114,Prince Harry Has Unpleasant Surprise After Landing His Own Castle Away From King Charles And Prince William https://t.co/7U6Rd2dJfX,-1
115,RT @myaimistrue1982: @MichaelBensonn Prince Charles should start wearing this and start calling himself the Linear Monarch,0
116,"Finally, Prince Charles to President Trump
He said thank you for eliminating all the most terrifying enemies of humankind on Earth that no force can stop.

When asked what Trump meant, Charles said, 
""The enemy that has always threatened and harassed the world's humankind.",-1
117,Prince Charles colluding with the white working class (with COVID-19)..,-1
118,RT @goldenlily2017: I won’t tell you but Mam has always been able to do a voice impression of Prince Charles! Oops I just told you 🤫,1
119,RT @ImAllexx: Prince Charles right now https://t.co/GJMNSRNGeT,0
120,"RT @pakalupapitow: u are never too old to achieve your dreams

prince charles is 73 and he just got his first job",-1
121,"1/ In 2014, Courtiers of The Queen planned on bringing the press offices of BP, CH and KP under one roof to be called “Royal Communications” due to lack of coherence between the three.

The merger fell apart as the then Prince Charles and his courtiers did not like how it worked.",1
122,"RT @CHOOHCFAMILY: And yesterday he told President Trump everything about the countries owned by the British royal family.

The right to ret…",0
123,"It is said that Prince Charles has already met his real human mother who is alive.

 Her real human queen Elizabeth has already put out her own coffin and erased everything so that she has no affiliation with her British royal family.",1
124,RT @EnragedCo: Bill Gates with Britain's Prince Charles and Canada's Prime Minister Justin Trudeau in November 2021 co-founded one of the l…,0
125,"Prince Andrew is much more beautiful than Charles. Infinitely better a perennialist King than a rapist one, how ever",1
126,"And yesterday he told President Trump everything about the countries owned by the British royal family.

The right to return all property currently owned by the British Royal Familiy is only one person, Prince Charles.",0
127,@michaelmaberry Not really I'm flamitas cousin. My dad's side he's actually third cousin and that's why we dislike each other. But somehow he became a prince in the royal family and I didn't. Think his dad is king charles brother.,-1
128,RT @boxmontessori: I wonder if they have been offered money by Charles to keep quiet!!!!!  Harry and Meghan's Netflix show risks being 'she…,-1
129,"RT @WindsorDynasty: Queen Elizabeth II, The Duke of Edinburgh &amp; The Prince of Wales at a polo tournament. Charles played alongside his fath…",1
130,"Now,I'm going to briefly recap what happened yesterday between Prince Charles and President Trump.
Prince Charles asks President Trump.

Do you know what UNITED KINGDOM means?  when asked
President Trump Names Some British Countries.
Charles said one was missing.
 it says USA",1
131,RT @TwelveDaisies: @NoToMisogyny I mean I identify as the 50 year old male child of Prince Charles which means I'm the actual heir to the t…,0
132,"Prince Charles currently owns one-sixth of the world's land. Own this huge piece of land, but all of this means nothing
to Charles.
It is said that the British royal family hid the stolen property from the world through the Rothschilds.",-1
133,British royal history puts Meghan and Harry title row to bed https://t.co/G1uBzmY3Sy,0
134,RT @CHOOHCFAMILY: Prince Charles of England said that he thinks that the biggest problem is the question of who he is even at this time tod…,-1
135,"@oversized_frog My faves are Peter Darling (by S.A. Chant) and The Henchmen of Zenda (by KJ Charles, and honestly I’d also rec Think of England to you by that same author)

Also Captive Prince but I’m assuming ??? you may have read that one before?",1
136,"British royal history puts Meghan and Harry title row to bed https://t.co/G1uBzmY3Sy bloody well done , speaking out . Xxx",-1
137,@yogabird33 @prince_latest Are you serious! After she turned Harry against his family with this racist stuff . If the Royal family were so Racist do you believe that Prince Charles at that would have walked Megan down the Aisle. I don’t think so,-1
138,"Diana read everything Prince Charles wrote.
Diana is much smarter than Prince Charles.

And the White Hat helped her because the CIA knew Diana was in danger and planned to get rid of her.

Prince Charles hadn't seen his mother Queen in four years.",-1
139,"President Reagansaid Prince Charles. You (the British Royal Family) stole our country  America!  And Charles said
 yes! Our royal family stole America.  
We stole everything
And Prince Charles continued to speak.  We have taken over the world, but this is by the reptilians.",1
140,King Charles III Will Reportedly Have to Pay Rent to Prince William #NewsBreak https://t.co/fm6i3Jn3Vt,-1
141,we whistle on euro chocolate box. We also do not recognize you in your devil game. Pictured here Prince Charles and the Duchess of York#Elisabeth of England. https://t.co/tw5gnDCYU6,-1
142,@RoyalFamily She's adorable after HRH PRINCESS ANNE and KING CHARLES I think she and Prince Edward are the  Royals who miss HM QUEEN ELIZABETH II the most ❤️♥️❤️💪💪💪,1
143,@jatroa @sage1411 Royal protocol is that two direct heirs to the throne have to take separate flights when traveling. It's a failsafe in case something tragic happenes en route. That means that King Charles and Prince William cannot fly together.,-1
144,"She told him that Mercia  Queen ethelflaed had fought reptilians for her father's sake. Thatcher asked Prince Charles.I heard that you read a lot. who you liked the most among historical figures, and Prince Charles answered that he was Lady of Mercia.",1
145,"RT @PeterObi: It is my pleasure to be here in Dallas, Texas, I wish to express my immense gratitude to the members of the Local Organizing…",1
146,@PopBase Prince Charles will be starring as the purple guy,0
147,"or something he had never known before.
In response, Prime Minister Thatcher told Prince Charles that the raptalians had been on Earth for a long time and that humans had been fighting against them.
One of them was Lady of MERCIA aethelflaed",-1
148,"And pointed a gun at cia and made them get out of there.President Reagan ordered bodyguards to expel all CIA personnel from inside the building.
Prince Charles talked about reptilian aliens and said he had no idea what the situation was, what the truth was,",-1
149,Body Language Expert Says Gesture Shows Camilla Supports King Charles III in New Photo With Kate Middleton and Prince William https://t.co/5YuIBTQEYB #breakingnews,1
150,"Prince Charles hands two books to Reagan.
One was the queen's diary and the other was his own.
Currently, these two diaries are in the possession of President Trump.
Four people in the White House heard all the stories Charles went through.",0
151,"RT @A_Shufflebotham: https://t.co/zsgFt5acUC
We don't want #HarryandMeghan back. They chose to move overseas and they chose to go it alone.…",-1
152,"Ever since that happened, the queen's mother says it's not the same as before and she's become a stranger.
Prime Minister Thatcher, President Gorbachev, President Reagan and Prince Charles will gather at the White House.",0
153,"And at that time, the reptilians went to South America where the real queen resides, took pictures of the real queen, reproduced it and pretended to be a queen until now.
Prince Charles vividly remembers this time.",0
154,"No more woke for royalty 🚫
Neither King Charles nor Prince William will not attend Cop27 summit in Egypt. NationalWorld #ClimateAlarmism  https://t.co/dZWOrEDMi1",0
155,"As a result, according to the Post, the Sussexes now want to re-edit the show ‘to take out or downplay much of what they have said about King Charles, Queen Consort Camilla, Prince William and his wife, Kate, the new Princess of Wales.’",1
156,"This South America also belongs to the British Royal Family. Prince Charles was born here in South America.The Queen of England had been raped by her guards over a thousand times while living https://t.co/3I0EO4aliV, although it is not certain whose son Prince Charles is,",-1
157,@Gail52859896 @JimTorbett @megynkelly MM can’t bring down the royal family.  Prince Andrew sure as hell could have if Epstein actually went to trial.  Charles driving Diana to depression by having a 50 year relationship with his mistress might.   MM has been in a nuclear relationship with a hubby that has her back,-1
158,"@Vonniemac10 @richardaeden @mailplus It is recorded that Princess Anne was jealous of Diana, Princess Margaret when she was alive nicknamed Diana Barbie and it wasn't in a nice way. Prince Charles was jealous of Diana and the attention she garnered because she was simply a wonderful nice person.",-1
159,"Meghan Markle, Prince Harry ‘too obvious’ with new portrait: ‘Undermining Charles’ https://t.co/KX4lNmS2jq",-1
160,"Prince Charles said that he had read all of the Queen's diary and contacted Margaret Thatcher. Prince Charles said that the Queen's mother usually felt strange, but he didn't question her much until he saw the diary.",-1
161,Just you’re reminder that Prince Charles killed Princess Diana.,-1
162,Prince Harry's book and Meghan's Netflix show could chip away at King Charles credibility https://t.co/OqDuGGJb9C—-HOW does this chip at King Charles’ ‘credibility’? Being whiners is all these two have going for them—BORING,-1
163,"Meghan Markle, Prince Harry ‘too obvious’ with new portrait: “The overall impression is of Harry and Meghan setting up a rival court. And this doesn’t bode well for the near future,” he added.
https://t.co/oSLVJHfoN7",0
164,"RT @RoyallyPetite: Prince Charles Accused of ""Damage"" to the Royal Family, as Younger Generation does not view Prince Charles favorably. 😎…",-1
165,"@BryanSaylor7 @SassyJaxIsBack “Prince’s remaining siblings, Sharon, Norrine, and John Nelson still retain a larger percentage of the remaining half of the estate, with a small portion given to adviser Charles Spicer and L. Londell McMillan”

So… lol .. who gave the latter their shares?",1
166,King Charles III may remove Princess Beatrice and Princess Eugenie's royal titles due to Prince Andrew: expert https://t.co/RYBP98J62B #FoxNews,0
167,"~Meghan Markle &amp; Prince Harry: Shocked, Humiliated By Charles’ First Photo as …~ 
https://t.co/lwMMzLhPix
Earlier this week, the royal family debuted the first official photo of Charles as king of the United Kingdom.

At first glance, there appeared to be nothing out of th... https://t.co/sFYEc5pgbx",-1
168,"Prince Charles grew up at Buckingham Palace from an early age and loved to read,and he read many books.
One day,Prince Charles sneaks into a secret room his mother often goes to without anyone knowing,and in the room he finds a diary written by his mother,Queen Elizabeth,on adesk",1
169,"RT @Daily_Express: Piers Morgan slates Meghan and Harry for 'stealing royal family's thunder' with new photo
#PiersMorgan #MeghanMarkle #Pr…",-1
170,@kazmito @Bonisile_RMS @TMakgape Not prince charles 😭😂,0
171,"President Reagan invited Gorbachev to the meeting, and Prime Minister Thatcher appears with the young Prince Charles.
Prior to the meeting of the four, Prime Minister Thatcher met and talked with Charles.",0
172,"Prince Charles of England said that he thinks that the biggest problem is the question of who he is even at this time today.
One day in the 1980's, British Prime Minister Margaret Thatcher urgently contacts President Reagan and asks to meet with President Reagan.",-1
173,"RT @TheTalkUK: ""I think he's now worried that Charles is going to be devastated and his new reign compromised.""

Sources close to Prince Ha…",-1
174,"@tarynabell Can you put your Prince Charles sausage finger next to it please as a comparison?
#HatePoliceSayItIsKingCharles",1
175,Who wants Queen's $600 MILLION FORTUNE? King CHARLES I Prince WILLIAM I ... https://t.co/PeHRQTBLe5 via @YouTube,0
176,"RT @truther_justice: That’s because Epstein/Maxwell were a MI6/Chatham House operation blackmailing for WEF chairman Peter Mandelson, WEF A…",0
177,RT @RoyallyBelle_: ‘We are lucky to have her’ - the then Prince Charles said about his beloved daughter-in-law Catherine🥺 https://t.co/UQvw…,1
